departamento;participacion_comunitaria;incentivos_economicos;fortalecimiento_institucional;impactos_ambientales;conflictos_socioambientales;desplazamiento_forzado;reasentamiento;protesta_social;amenaza_intimidacion;consulta_previa;audiencia_publica;taller_participativo;conflicto_territorial;nivel_acuerdo_proyecto;demanda_derechos;denuncia_violacion;propuesta_alternativa;llamado_dialogo;defensa_territorio;exigencia_participacion;equidad_inclusion;grupos_etnicos;movimientos_sociales;grupos_poblacionales_afectados;participacion_economica_local;transparencia_contractual;zonas_proteccion_alimentaria;respeto_territorios;presencia_grupos_armados;desaparicion_lideres;grupos_etnicos_entidades;grupos_armados_entidades;organizaciones_entidades;lideres_entidades;instituciones_entidades;actores_economicos_entidades
Amazonas;0.1438002897377469;0.3009919756307052;0.2983789475868467;0.110873522251554;0.1459552656419891;0.4549697409559518;0.4305971340134434;0.3986567215798875;0.2832286439823417;0.7160493432551713;0.8265002706895963;0.839146202886364;0.7580123362696998;0.9312766263675488;0.5080891034959651;0.7181660003339408;0.6672275897906339;0.7132263361336851;0.8860638368665523;0.4066421550859769;0.5222741992994983;0.7430121449278555;0.2445402554831861;0.8254944789680551;0.6169913833416991;0.3351376931509898;0.3269321922989805;0.9068507297145512;0.6262162749705976;0.6160394109800639;0.4534412955465587;0.5101214574898786;0.3805668016194332;0.0323886639676113;0.3481781376518219;0.2995951417004048
Antioquia;0.1592932724321321;0.3230393393816396;0.3287823031004141;0.0764541408013616;0.1124309437233494;0.4898620735446692;0.4608045571289194;0.4675608410325072;0.3940540376503851;0.7564643469324754;0.8599020342222605;0.8400855983375582;0.7928060689195896;0.932249970652346;0.6053041053335781;0.7608119905909202;0.7081364003165747;0.7373019623482833;0.901479995259704;0.4580355876657748;0.5767864806740226;0.7039320211906928;0.3019208369451633;0.8725644609288064;0.6000391921303155;0.453081117589412;0.2522507110523528;0.9257526041919;0.7146318746986493;0.7436813888465408;0.1356275303643724;0.4898785425101215;0.3218623481781376;0.0404858299595141;0.6032388663967612;0.4008097165991903
Arauca;0.1687033997949225;0.3089184488075743;0.3631668073426971;0.0557481820909274;0.1034631606906113;0.358050977901064;0.306162296397042;0.4401667846264545;0.4007302562134541;0.7861643447199973;0.8865868529428172;0.8585102052820477;0.6734427500740083;0.9570524205229788;0.6758807204957429;0.8398122770212045;0.6584469616049673;0.7943894679265466;0.8844072470889274;0.3974019790673466;0.5143692285314897;0.6444649241608325;0.2641184305308146;0.8535425576279168;0.4194795725308805;0.4121918228020054;0.2246862591819461;0.9101996366843218;0.6808744257178891;0.652496109641553;0.1219512195121951;0.9790940766550522;0.2787456445993031;0.024390243902439;0.4878048780487805;0.2439024390243902
Atlántico;0.1763513411860913;0.3094397064751638;0.3238623190481521;0.0952737586256491;0.0950728757148694;0.4110890957820063;0.4894649563992735;0.3829289324699361;0.3194445309265791;0.7588209943427424;0.8609876198604763;0.8473268143844996;0.6860280782932048;0.9319820380468457;0.5607349910332505;0.7537555919272334;0.6618984382527037;0.7305983628205983;0.8992800382727112;0.3598847492699555;0.5134816426742383;0.6696771820159585;0.2173481385317798;0.811747642802154;0.5417885977905724;0.3926166475584151;0.2119497668135555;0.9114103435448752;0.6726519139087718;0.68113848775254;0.0646853146853146;0.2316433566433566;0.2194055944055944;0.0157342657342657;0.3347902097902098;0.291958041958042
Bolívar;0.1868462730329902;0.3285204867731208;0.2865538288689173;0.0783284490501633;0.1197509571551502;0.3945056919588608;0.4277239649068025;0.3982568416821427;0.3544127820567611;0.7008275891833394;0.8259784162455684;0.8136619199747533;0.6544078793394125;0.9239541799560788;0.5583447369403286;0.7351008413894946;0.6652720689395101;0.7055977078386642;0.855173274170091;0.3612495720123153;0.4846579279024189;0.6490431164900602;0.2635849661252977;0.8424171492272521;0.5237096959519224;0.3755860728541326;0.2021153865388397;0.8938111037021147;0.656493650618522;0.6854247162781293;0.0561797752808988;0.198501872659176;0.198501872659176;0.0599250936329588;0.4194756554307116;0.2546816479400749
Boyacá;0.170352799123104;0.3093693121924604;0.3301403996387594;0.0801175461659257;0.1100199369513;0.2453889780056718;0.282597162042772;0.3341313767739369;0.2246953263269173;0.7078062441846429;0.848966798399526;0.8407156216715904;0.6542418090038393;0.9267106115965076;0.5088354712204339;0.77044381122595;0.6217943314298233;0.694695813032051;0.8247211647514058;0.3168454728165862;0.4334717954764767;0.633279051912005;0.237749557314122;0.7757644511241539;0.4301308073510881;0.3480482302922418;0.2281726229956563;0.8469102783493183;0.5004086274399397;0.5793485554425339;0.0657894736842105;0.1052631578947368;0.231578947368421;0.031578947368421;0.5605263157894737;0.2684210526315789
Caldas;0.1964030076378902;0.3329033690586107;0.2702367942129234;0.1075944929134287;0.0928623368684805;0.1671685377340447;0.2599146010855802;0.2649733655393563;0.1423382785575898;0.6654414780336978;0.8262393761649999;0.8457009175198581;0.49733112904531;0.9320628304414236;0.416410324480863;0.7103550547868025;0.6707600196095411;0.6845916196644385;0.7944164134224448;0.1745019365636282;0.3167543515734808;0.6613653581958674;0.1904692896645558;0.7942205539292884;0.2377255393342306;0.2068111177362067;0.2424684118935921;0.8405256946375262;0.4274810460546057;0.4951912121520254;0.1294498381877022;0.1229773462783171;0.1682847896440129;0.0032362459546925;0.4401294498381877;0.2459546925566343
Caquetá;0.1607794240293096;0.2797789951511162;0.3757563056232235;0.0668923068540394;0.1167929685125335;0.6539139330625747;0.5164569274058703;0.5727700657920137;0.5805347287932193;0.7898051278982503;0.8629836330952001;0.8270823183050219;0.7769186358364408;0.9340093260010084;0.7069079033651188;0.830034439531803;0.637058693683575;0.8011256829068174;0.9304083539989114;0.4610294203521584;0.619138302419117;0.7645378935569257;0.2838564990662919;0.9107096057674844;0.5771848540015029;0.4858663904070982;0.2756179941282448;0.9455627841007644;0.8290420145650884;0.812729873797693;0.3402061855670103;0.6769759450171822;0.3367697594501718;0.0137457044673539;0.3814432989690721;0.2474226804123711
Casanare;0.1656137314821761;0.3022746287954404;0.3556364901271296;0.0789933378926785;0.0974818127929747;0.5135921621373392;0.5114990772458187;0.4766768630776953;0.3910391129862794;0.7312362277063235;0.8564561823330912;0.8239084669845815;0.718032262410957;0.9334272294282128;0.5965018822888913;0.7884932978072215;0.6940925821296072;0.7380431666474946;0.8890738875709289;0.3867227946225878;0.5116700577124468;0.7329662521163679;0.222246508493655;0.8384757033601311;0.5219015118388332;0.4843731600710231;0.2148803143767204;0.9059214653745178;0.7369102034631029;0.7378681512717273;0.0683229813664596;0.484472049689441;0.1677018633540372;0.0248447204968944;0.3540372670807453;0.3043478260869565
Cauca;0.2263988862402058;0.3194310707005089;0.306814183899977;0.0539202549279493;0.0934356058963121;0.4139039197087727;0.3136299116609053;0.463566424395678;0.4355028866520416;0.7097455688992073;0.8731410511914192;0.8513576012193521;0.6127799562654337;0.9473521686018908;0.6133264909774052;0.86227414843916;0.6962675478824404;0.7337619046027302;0.8776734300443659;0.3916267508219025;0.5197741495576581;0.7590587424146662;0.2704817295069061;0.8479181146500305;0.4719337204702504;0.4089737160474546;0.2649355780014111;0.8875107164701048;0.6741571885200348;0.6181060555278103;0.1939799331103679;0.9448160535117056;0.1739130434782608;0.0133779264214046;0.2240802675585284;0.1304347826086956
